article,impressions,avg_score,clicks,CTR
Account Deactivation,2,0.3325808197259903,2,1.0
Cancel Order,4,0.47304509580135345,3,0.75
Contact Support,2,0.24587013572454453,0,0.0
Login Issues,4,0.522020123898983,2,0.5
Order Tracking,3,0.4724574287732442,3,1.0
Password Reset,5,0.46858176589012146,4,0.8
Payment Failure,3,0.5074858367443085,0,0.0
Product Not Delivered,4,0.49458885937929153,1,0.25
Refund Process,3,0.41205427050590515,2,0.6666666666666666
Subscription Renewal,3,0.43131253123283386,2,0.6666666666666666
